uri,label,all_labels,parents
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbatementAbuse,abatement abuse,abatement abuse,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/environemntal_mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbuseOfContractorBidOrProposalInformation,abuse of contractor bid or proposal information,abuse of contractor bid or proposal information,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbuseOfNonPublicInformation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbusiveReturnPreparation,abusive return preparation,abusive return preparation,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/TaxFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccountTakeover,account takeover,account takeover,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditationFraudMechanism,accreditation fraud mechanism,accreditation fraud mechanism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditingBody,accrediting body,accrediting body,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GovernmentalUnit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AcquiredUSCitizen,acquired US citizen,acquired US citizen,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/USCitizen
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Actor,actor,actor,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeOversightBurden,administrative oversight burden,administrative oversight burden,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ImpactOnOversightActivity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativelyCapableEntity,administratively capable entity,administratively capable entity,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgentInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativelyCapableIndividual,administratively capable individual,administratively capable individual,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgentInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdvancedFeeScam,advance fee scam,advance fee scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdvisoryServiceAndCounseling,advisory service and counseling,advisory service and counseling; Advisory service and counseling,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FundingStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AffectedIndividual,individual affected by emergency,individual affected by emergency,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Person
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AffinityFraud,affinity fraud,affinity fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConfidenceFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AffinityFraudMechanism,affinity fraud mechanism,affinity fraud mechanism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgencyResourceImpact,agency resource impact,agency resource impact,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OversightResourceImpact
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgentInRole,agent in role,agent in role,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ThingInRole
